passid	gene.symbol	gene.feature	celltype.class	localisation.class	upstream.length	smodel.26Feb2017.half.life[hours]	smodel.26Feb2017.r.square	smodel.12Jun2017.half.life[hours]	smodel.12Jun2017.r.square
fwdgroup00000165	Lrp11	3pUTR	neuron-enriched	not-localised	43	24.000000	0.900022	7.418874	0.906136
fwdgroup00000167	Lrp11	3pUTR_extended	neuron-enriched	somata	1618	24.000000	0.836272	1.871340	0.700925
fwdgroup00000179	Lrp11	3pUTR_extended	neuron-enriched	not-localised	3375	24.000000	0.509441	1.715030	0.714948
revgroup00000148	Pcmt1	3pUTR_extended	neuron-enriched	somata	2874	78.173546	0.321555	49.639143	0.396228
revgroup00000158	Pcmt1	3pUTR_extended	neuron-enriched	not-localised	1794	-10.176484	0.388896	245.932028	0.028686
revgroup00000161	Pcmt1	3pUTR	neuron-enriched	somata	1387	24.000000	0.925259	6.032523	0.854098
revgroup00000162	Pcmt1	3pUTR	neuron-enriched	not-localised	600	24.000000	0.814867	36.126137	0.911003
revgroup00000163	Pcmt1	3pUTR	neuron-enriched	somata	167	13.004822	0.826193	13.867623	0.773669
revgroup00000172	Pcmt1	intron	neuron-enriched	not-localised	121	0.000000	-1.000000	5.141268	0.620052
fwdgroup00000258	Nup43	3pUTR	glia-enriched	not-localised	103	3.113370	0.982142	3.424969	0.970314
fwdgroup00000260	Nup43	3pUTR_extended	glia-enriched	cell-culture	418	0.000000	-1.000000	13.586393	0.758501
fwdgroup00000272	Lats1	intron	tissue	not-localised	10370	0.000000	-1.000000	19.092306	0.757285
fwdgroup00000345	Lats1	3pUTR	glia-enriched	not-localised	3340	1.927807	0.963509	2.525072	0.951615
fwdgroup00000394	Katna1	3pUTR	others	not-localised	163	1.932278	0.963315	2.123249	0.962233
fwdgroup00000484	Ppil4	3pUTR	others	not-localised	1647	3.387439	0.947537	4.336200	0.923726
revgroup00000449	Tab2	3pUTR_extended	glia-enriched	not-localised	1947	2.202052	0.957345	2.760563	0.924886
revgroup00000450	Tab2	3pUTR_extended	glia-enriched	not-localised	1509	2.096189	0.903038	2.697023	0.950222
revgroup00000555	Ust	3pUTR_extended	neuron-enriched	not-localised	2731	16.660811	0.447216	16.641443	0.445040
revgroup00001296	Samd5	3pUTR_extended	neuron-enriched	not-localised	5862	-1.536257	0.632302	96.465610	0.021223
revgroup00001327	Samd5	3pUTR	tissue	not-localised	1546	-1.619229	0.133137	43.753286	0.284748
revgroup00001348	Samd5	intron	neuron-enriched	not-localised	37638	0.000000	-1.000000	0.060055	0.552735
revgroup00001421	Stxbp5	3pUTR_extended	neuron-enriched	not-localised	6146	3.587294	0.898536	5.509152	0.797271
revgroup00001437	Stxbp5	3pUTR_extended	neuron-enriched	not-localised	3630	24.000000	0.316283	4.216115	0.510805
revgroup00001438	Stxbp5	3pUTR_extended	neuron-enriched	somata	3173	9.837471	0.710305	10.625033	0.714390
revgroup00001456	Stxbp5	3pUTR_extended	neuron-enriched	not-localised	964	10.658233	0.785115	11.269464	0.788941
revgroup00001457	Stxbp5	3pUTR_extended	neuron-enriched	not-localised	425	12.769439	0.860125	13.299994	0.778863
